key,q_no,question,ア,イ,ウ,エ,オ,カ,a_no,1,2,3,4,5,6,abnormal_flg
R5_2,1,公認会計士監査に関する次の記述のうち，正しいものの組合せとして最も適切な番号を 一つ選びなさい。,株式会社において，経営者は株主が拠出した資本を適切に管理・運用する受託責任を負い，この結果について株主に会計報告を行う。この会計報告に対する公認会計士の監査は，経営者の説明責任の適切な履行に貢献する。 ,公認会計士監査は，財務情報の信頼性を担保する役割があるが，その過程で発見した内部統制の不備や不正行為の是正を促す機能を有することから，コーポレート・ガバナンスを支援するという役割も有している。 ,上場会社は，社会的に大きな影響力をもっているため，上場会社の監査を担当する公認会計士に対しては，特別に，単独監査の禁止，一定の非監査証明業務の禁止，就職の制限などの規定が置かれている。 ,上場会社は，一般投資家から広く資金調達を行うことが可能であるため，多くの利害関係者が生じ，これらに対する保護が必要となってくる。このため，利害関係者に対する適時・適切な情報開示のために管理体制の整備が必要となることから，新規に上場するときには，公認会計士による内部統制監査の実施が求められている。,,,1,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,2,次の記述のうち，虚偽表示に該当する状況を示したものの組合せとして，最も適切な番号を一つ選びなさい。,得意先の売上債権に対する貸倒引当金の見積りについて，監査報告書日後，その得意先の経営状態が悪化したため，計上していた貸倒引当金の金額が過少となっていた。 ,決算日における，時価が下落している子会社株式の評価に関して，子会社が策定した将来の業績予測をそのまま利用したが，その業績予測は現実的な予測よりも大幅に利益を高く見積もっていたため，子会社株式の評価が過大となっていた。 ,当年度から開示すべき重要な注記事項について，経理担当者に十分な知識がなかったために，必要な開示が漏れていた。 ,当年度に生じた会社の業績に影響を及ぼす特別な事項について，直接的に開示を求める規定はなかったが，追加的に注記事項としての開示を行った。,,,4,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,3,次の記述のうち，精神的独立性の欠如が直接的に認められる状況を示したものの組合せとして，最も適切な番号を一つ選びなさい。,監査人は，多忙なため，特定の監査基準報告書の改訂部分については，十分に理解していなかった。 ,監査人は，監査の過程で矛盾する監査証拠に直面したが，これまで大きな問題がなかったため，追加的な監査手続を実施しなかった。 ,監査人は，当初計画していた子会社への往査について，経営者から合理的な理由がないにもかかわらず往査を拒否されたため，やむをえず，往査を実施しなかった。 ,監査人は，被監査会社より，当年度の利益目標を達成するために，一部の費用を次年度に繰り延べたいと相談されたため，次年度に繰り延べることを容認した。 ,,,6,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,4,公認会計士法に関する次の記述のうち，正しいものの組合せとして最も適切な番号を一つ選びなさい。,未成年者でも公認会計士試験を受験することができるが，公認会計士となることはできない。,監査法人の合併の際には総社員の同意が求められるが，監査法人の社員の脱退については総社員の過半数の同意が必要となる。 ,監査法人は，業務として，監査証明業務に加え，公認会計士試験に合格した者に対する実務補習を実施しなければならない。,公認会計士名簿，外国公認会計士名簿及び特定社員名簿は，日本公認会計士協会で備えることが求められている。,,,3,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,5,会社法における一時会計監査人に関する次の記述のうち，正しいものの組合せとして最も適切な番号を一つ選びなさい。,一時会計監査人は，会計監査人の選任と同様に，株主総会の決議によって選任されなければならない。 ,一時会計監査人に選任された監査法人は，監査法人に所属する社員の中から会計監査人の職務を行うべき者を選定し，会社に通知しなければならない。 ,一時会計監査人を選任した際には，会計監査人を選任した場合と同様に，一時会計監査人の氏名又は名称を登記しなければならない。 ,一時会計監査人の報酬等の決定に当たって，監査役設置会社で監査役が二人以上の場合，取締役は監査役全員の同意を得なければならない。,,,4,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,6,監査事務所の品質管理に関する次の記述のうち，正しいものの組合せとして最も適切な番号を一つ選びなさい。,監査に関する品質管理基準は，公認会計士による財務諸表の監査において適用されるものであり，品質管理システムの構成は，監査事務所の規模や扱う監査業務の目的，内容等により，監査業務の質が合理的に確保される範囲において変化しうるため，監査事 務所によって異なることがある。 ,品質管理基準報告書には，監査における不正リスク対応基準に準拠して実施される監査業務を行う監査事務所に遵守が求められる要求事項が含まれている。この要求事項は，監査事務所に新たな品質管理システムの導入を求めているものではなく，不正リスクに対応する観点から特に留意すべき点に対応したものである。 ,監査事務所は，金融商品取引法に基づく監査であっても，監査報告の対象となる財務諸表の社会的影響が小さく，かつ，監査報告の利用者が限定されている非上場会社の監査業務の場合には，審査を要しないとすることができる。 ,監査事務所は，不正による重要な虚偽表示を示唆する状況が識別された場合に，修正後の監査計画及び監査手続の妥当性について，監査事務所としての審査が行われるよう，審査に関する方針及び手続を定めなければならない。 ,,,1,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,7,監査業務の品質管理に関する次の記述のうち，正しいものの組合せとして最も適切な番号を一つ選びなさい。,監査チームのメンバーは，個々の監査業務を実施する全ての社員等及び専門職員，並びに当該業務において監査手続を実施する全ての者であるので，監査責任者が所属するネットワーク外の監査事務所に所属する者が含まれることがある。 ,監査責任者は，独立性の保持が要求される全ての専門職員から，独立性の保持のための方針及び手続の遵守に関する確認書が入手されているかどうかを自ら確認しなければ ならない。 ,監査責任者は，監査報告書日以前に，監査調書の査閲や監査チームとの討議を通じて，到達した結論と監査意見を裏付ける十分かつ適切な監査証拠が入手されているかどうかを判断しなければならないが，全ての監査調書を査閲する必要はない。 ,審査とは，監査チームによってなされた重要な判断及び到達した結論を客観的に評価することであるため，公認会計士法上の大会社等の監査の審査では，監査チームが行う経営者及び監査役等に伝達する事項の検討及び評価は必要ない。,,,2,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,8,内部統制の不備の報告に関する次の記述のうち，正しいものの組合せとして最も適切な番号を一つ選びなさい。,監査人は，監査の過程で識別した内部統制の重要な不備全てについて，適切な階層の経営者に報告することが求められている。 ,監査人は，監査の過程で識別した内部統制の重要な不備について，経営者に速やかに口頭で報告を行った場合，書面又は電磁的記録により監査役等に報告する責任は免除さ れる。,監査人は，経営者や監査役等に内部統制の重要な不備の内容とそれによって見込まれる影響の説明をする場合，その影響額を算定する必要はなく，また，必ずしも重要な不備を分類して集約する必要もない。 ,監査人は，監査の過程で識別した重要な不備以外の内部統制の不備について，内部監査人や規制当局等の他の関係者が既に経営者に報告を行っていたとしても，経営者に報告を行うことが適切な場合がある。 ,,,6,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,9,内部統制監査に関する次の記述のうち，正しいものの組合せとして最も適切な番号を一つ選びなさい。,我が国の内部統制監査は，内部統制の有効性の評価結果という経営者の主張を前提に，これに対する監査人の意見を表明するものであり，直接報告業務（ダイレクト・レポーティング）を採用しているわけではないが，監査人は，内部統制監査において意見を表明するに当たって，企業等から，直接，十分かつ適切な監査証拠を入手する。,監査人は，財務報告に係る全社的な内部統制の評価の妥当性を検討するに当たって，監査役等の活動を含めた経営レベルにおける内部統制の整備及び運用状況の評価が重要となるため，監査役等が行った業務監査の中身を検討することが求められている。,内部統制監査は，原則として，財務諸表監査と同一の業務執行社員によって行われることから，監査人は，内部統制監査の過程で得られた監査証拠を財務諸表監査の監査証拠として利用したり，財務諸表監査の過程で得られた監査証拠を内部統制監査の監査証拠として利用したりすることがある。,監査人は，内部統制監査の過程で監査人が発見した開示すべき重要な不備が期末日までに是正された場合，内部統制監査報告書において適正意見を表明するとともに，当該是正措置について追記情報として記載する。,,,2,アイ,アウ,アエ,イウ,イエ,ウエ,0
R5_2,10,保証業務に関する次の記述のうち，正しいものの組合せとして最も適切な番号を一つ選びなさい。,保証業務は，保証業務リスクの程度により，合理的保証業務と限定的保証業務に分類される。業務実施者は，合理的保証業務を行う場合，保証業務リスクを限定的保証業務の場合よりも有意に高い水準を維持し，積極的形式による結論の報告を行う。,業務実施者は，限定的保証業務を行う場合，保証業務の対象について，全ての重要な点において，一定の規準に照らして適正性や有効性等がないと考えられるような事項が発見されなかったかどうかを示す消極的形式によって結論を報告する。,業務実施者は，保証業務において，手続の適用を通じて十分かつ適切な証拠の収集が求められるが，財務情報のレビューを行う場合，主に合意された手続によって，レビューにおいて求められる十分かつ適切な証拠を得ることになる。,業務実施者は，主題に責任を負う者が想定利用者へ主題情報を提示していない場合，保証報告書において，直接に当該主題について積極的形式又は消極的形式によって結論を報告することが求められている。,,,5,アイ,アウ,アエ,イウ,イエ,ウエ,0
