key,q_no,question,ア,イ,ウ,エ,a_no,1,2,3,4,5,6
H25_2,1,小商人以外の個人商人（以下「商人」という。）に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．商人がその氏，氏名その他の名称を商号として選定した場合には，これを登記しなければならない。,イ．商人は，営業とともにする場合又は営業を廃止する場合に限り，その商号を譲渡することができる。,ウ．商人は，その営業のために使用する財産について，適時に，正確な商業帳簿を作成しなければならない。,エ．商人が支配人を選任する場合には，自ら営業を行う者以外の者から選任しなければならない。,3,アウ,アエ,イウ,イエ,ウエ,
H25_2,2,交互計算に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．交互計算は，商人と商人でない者との間では，その効力を生じない。,イ．交互計算の期間は，当事者が相殺をすべき期間を定めなかったときは， 6 箇月である。,ウ．交互計算における相殺によって生じた残額については，債権者は，計算の閉鎖の日以後の法定利息を請求することができる。,エ．交互計算を解除するには，各当事者は， 2 箇月前までに相手方にその旨を予告しなければならない。,3,アイ,アウ,イウ,イエ,ウエ,
H25_2,3,株式会社を設立する場合に定款に記載し，又は記録する事項に関する次のア〜エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．株式会社の商号は，定款に記載し，又は記録しなければならない。,イ．株式会社の支店の所在地は，定款に記載し，又は記録しなければならない。,ウ．株式会社の成立により発起人が受ける報酬は，定款に記載し，又は記録しなければ，その効力を生じない。,エ．株式会社の負担する定款の認証の手数料は，定款に記載し，又は記録しなければ，その効力を生じない。,2,アイ,アウ,イウ,イエ,ウエ,
H25_2,4,株式会社の設立時役員の選任又は解任に関する次のア〜エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，設立される株式会社は，種類株式発行会社ではなく，定款に累積投票を行わない旨の定めがあるものとする。,ア．発起設立の場合における設立時取締役の選任は，定款に設立時取締役として定められた者がある場合を除き，発起人の議決権の過半数をもって決定する。,イ．発起設立の場合における設立時監査役の解任は，発起人の全員の同意によらなければならない。,ウ．募集設立の場合における設立時取締役の選任は，創立総会において議決権を行使することができる設立時株主の議決権の過半数であって，出席した当該設立時株主の議決権の過半数を要件とする創立総会の決議によって行われなければならない。,エ．募集設立の場合における設立時監査役の解任は，株式会社の成立の時までの間，創立総会の決議によって行うことができる。,3,アイ,アウ,アエ,イウ,イエ,
H25_2,5,株式の質入れに関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，本問の株式には，「社債，株式等の振替に関する法律」の適用はないものとする。,ア．株式の質入れは，当該株式に質権を設定した者が株式会社に質権の設定を通知し，又は当該株式会社がこれを承諾しなければ，その効力を生じない。,イ．株券発行会社でない株式会社における株式の質入れは，その質権者の氏名又は名称及び住所を株主名簿に記載し，又は記録しなければ，当該株式会社その他の第三者に対抗することができない。,ウ．株式の質権者は，株式会社に対し，質権者の氏名又は名称及び住所を株主名簿に記載し，又は記録するよう請求することができる。,エ．株券発行会社における株式の質権者は，継続して当該株式に係る株券を占有しなければ，その質権をもって当該株券発行会社に対抗することができない。,4,アイ,アウ,イウ,イエ,ウエ,
H25_2,6,取締役会設置会社における自己の株式の取得又は自己株式の消却に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。なお，それぞれの記述につき，定款に別段の定めはないものとする。,ア．株式会社が，その子会社の有する当該株式会社の株式を有償取得する場合には，取得する株式の数の決定は，取締役会の決議による。,イ．株式会社が，金融商品取引法上の公開買付けの方法により当該株式会社の株式を有償取得する場合には，取得する株式の数の決定は，取締役会の決議による。,ウ．株式会社が，金銭を取得対価として当該株式会社の発行する全部取得条項付種類株式の全部を取得する場合には，その額又は算定方法の決定は，取締役会の決議による。,エ．株式会社が，自己株式を消却する場合には，消却する自己株式の数の決定は，取締役会の決議による。,2,アウ,アエ,イウ,イエ,ウエ,
H25_2,7,株式会社の機関の設置に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．公開会社でない会計参与設置会社である取締役会設置会社（委員会設置会社を除く。）は，監査役を置かなければならない。,イ．公開会社でない大会社（委員会設置会社を除く。）は，会計監査人を置かなければならない。,ウ．委員会設置会社は，取締役会を置かないことができる。,エ．委員会設置会社は，会計参与を置くことができる。,4,アイ,アエ,イウ,イエ,ウエ,
H25_2,8,株主総会決議の取消しの訴えに関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．株主総会の決議の方法が法令に違反することを原因として決議の取消しの訴えが提起された場合において，裁判所は，その違反する事実が重大でなく，かつ，決議に影響を及ぼさないものであると認めるときは，当該決議の取消しの請求を棄却することができる。,イ．株式会社の債権者は，訴えをもって当該株式会社の株主総会の決議の取消しを請求することができる。,ウ．株主総会決議の取消しの訴えに係る請求を認容する判決が確定したときは，当該決議は，当該決議の時にさかのぼって，その効力を失う。,エ．株主総会決議の取消しの訴えに係る請求を認容する確定判決は，第三者に対し，その効力を有しない。,2,アイ,アウ,イウ,イエ,ウエ,
H25_2,9,株式会社における役員又は会計監査人に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．累積投票の方法で選任された取締役は，株主総会の特別決議によって解任することができる。,イ．株式会社の監査役は，当該株式会社の子会社の取締役を兼ねることができる。,ウ．任期満了により株式会社の社外取締役を退任した者は，その後，当該株式会社の社外監査役になることができない。,エ．会計監査人を選任する株主総会の決議の定足数は，定款の定めによって，当該株主総会において議決権を行使することができる株主の議決権の 3 分の 1 未満に引き下げることができない。,2,アイ,アウ,イウ,イエ,ウエ,
H25_2,10,公開会社である監査役設置会社における役員の報告義務に関する次のア～エまでの記述のうちには，正しいものが二つある。その記号の組合せの番号を一つ選びなさい。,ア．取締役は，株式会社に著しい損害を及ぼすおそれのある事実があることを発見したときは，直ちに，当該事実を株主に報告しなければならない。,イ．会計参与は，その職務を行うに際して取締役の職務の執行に関し不正の行為又は法令若しくは定款に違反する重大な事実があることを発見したときは，遅滞なく，これを取締役会に報告しなければならない。,ウ．監査役は，取締役が不正の行為をし，若しくは当該行為をするおそれがあると認めるとき，又は法令若しくは定款に違反する事実若しくは著しく不当な事実があると認めるときは，遅滞なく，その旨を取締役会に報告しなければならない。,エ．監査役は，取締役が株主総会に提出しようとする議案，書類その他法務省令で定めるものを調査した場合において，法令若しくは定款に違反し，又は著しく不当な事項があると認めるときは，その調査の結果を株主総会に報告しなければならない。,5,アイ,アウ,イウ,イエ,ウエ,
