,Unnamed: 0,0,〇,×,pred,ans
0,0,〇,〇,,〇,〇
1,1,〇,〇,,〇,×
2,2,×,,×,×,×
3,3,〇,〇,,〇,〇
4,4,〇,〇,,〇,〇
5,5,×,,×,×,×
6,6,×,,×,×,×
7,7,〇,〇,,〇,〇
8,8,〇,〇,,〇,〇
9,9,〇,〇,,〇,〇
10,10,×,,×,×,×
11,11,×,,×,×,×
12,12,×,,×,×,×
13,13,×,,×,×,〇
14,14,×,,×,×,×
15,15,〇,〇,,〇,〇
16,16,×,,×,×,〇
17,17,×,,×,×,×
18,18,〇,〇,,〇,〇
19,19,〇,〇,,〇,×
20,20,×,,×,×,〇
21,21,×,,×,×,×
22,22,〇,〇,,〇,×
23,23,〇,〇,,〇,〇
24,24,〇,〇,,〇,×
25,25,×,,×,×,×
26,26,×,,×,×,〇
27,27,〇,〇,,〇,〇
28,28,×,,×,×,×
29,29,×,,×,×,〇
30,30,〇,〇,,〇,×
31,31,×,,×,×,〇
32,32,〇,〇,,〇,〇
33,33,〇,〇,,〇,×
34,34,〇,〇,,〇,〇
35,35,×,,×,×,×
36,36,〇,〇,,〇,×
37,37,〇,〇,,〇,〇
38,38,〇,〇,,〇,〇
39,39,×,,×,×,×
40,40,〇,〇,,〇,×
41,41,〇,〇,,〇,〇
42,42,×,,×,×,×
43,43,×,,×,×,〇
44,44,〇,〇,,〇,〇
45,45,〇,〇,,〇,〇
46,46,×,,×,×,×
47,47,×,,×,×,×
48,48,×,,×,×,×
49,49,×,,×,×,×
50,50,〇,〇,,〇,〇
51,51,〇,〇,,〇,〇
52,52,〇,〇,,〇,×
53,53,〇,〇,,〇,〇
54,54,×,,×,×,×
55,55,〇,〇,,〇,〇
56,56,〇,〇,,〇,〇
57,57,〇,〇,,〇,×
58,58,〇,〇,,〇,×
59,59,〇,〇,,〇,〇
60,60,〇,〇,,〇,〇
61,61,×,,×,×,×
62,62,〇,〇,,〇,〇
63,63,〇,〇,,〇,×
64,64,×,,×,×,×
65,65,〇,〇,,〇,〇
66,66,〇,〇,,〇,〇
67,67,×,,×,×,×
68,68,〇,〇,,〇,〇
69,69,×,,×,×,×
70,70,×,,×,×,×
71,71,〇,〇,,〇,〇
72,72,×,,×,×,〇
73,73,〇,〇,,〇,〇
74,74,×,,×,×,×
75,75,〇,〇,,〇,×
76,76,×,,×,×,×
77,77,×,,×,×,〇
78,78,〇,〇,,〇,〇
79,79,〇,〇,,〇,×
