,Unnamed: 0,0,〇,×,pred,ans
0,0,×,,×,×,×
1,1,×,,×,×,〇
2,2,〇,〇,,〇,〇
3,3,×,,×,×,×
4,4,×,,×,×,×
5,5,〇,〇,,〇,×
6,6,〇,〇,,〇,〇
7,7,〇,〇,,〇,〇
8,8,×,,×,×,×
9,9,〇,〇,,〇,〇
10,10,×,,×,×,×
11,11,×,,×,×,〇
12,12,×,,×,×,〇
13,13,×,,×,×,×
14,14,×,,×,×,×
15,15,×,,×,×,〇
16,16,×,,×,×,×
17,17,〇,〇,,〇,〇
18,18,×,,×,×,×
19,19,〇,〇,,〇,〇
20,20,×,,×,×,×
21,21,×,,×,×,〇
22,22,×,,×,×,×
23,23,×,,×,×,〇
24,24,〇,〇,,〇,×
25,25,〇,〇,,〇,〇
26,26,〇,〇,,〇,×
27,27,〇,〇,,〇,〇
28,28,〇,〇,,〇,〇
29,29,〇,〇,,〇,×
30,30,×,,×,×,×
31,31,×,,×,×,〇
32,32,〇,〇,,〇,〇
33,33,×,,×,×,×
34,34,×,,×,×,〇
35,35,×,,×,×,×
36,36,×,,×,×,〇
37,37,×,,×,×,×
38,38,×,,×,×,〇
39,39,×,,×,×,×
40,40,×,,×,×,×
41,41,×,,×,×,〇
42,42,×,,×,×,〇
43,43,〇,〇,,〇,×
44,44,×,,×,×,〇
45,45,×,,×,×,〇
46,46,×,,×,×,×
47,47,×,,×,×,×
48,48,×,,×,×,×
49,49,〇,〇,,〇,〇
50,50,〇,〇,,〇,×
51,51,×,,×,×,〇
52,52,×,,×,×,×
53,53,〇,〇,,〇,〇
54,54,×,,×,×,×
55,55,〇,〇,,〇,〇
56,56,×,,×,×,×
57,57,×,,×,×,×
58,58,〇,〇,,〇,〇
59,59,〇,〇,,〇,〇
60,60,〇,〇,,〇,〇
61,61,×,,×,×,×
62,62,×,,×,×,×
63,63,〇,〇,,〇,〇
64,64,×,,×,×,×
65,65,×,,×,×,×
66,66,〇,〇,,〇,〇
67,67,×,,×,×,〇
68,68,〇,〇,,〇,〇
69,69,×,,×,×,〇
70,70,×,,×,×,×
71,71,×,,×,×,×
72,72,×,,×,×,×
73,73,〇,〇,,〇,〇
74,74,〇,〇,,〇,〇
75,75,×,,×,×,×
76,76,×,,×,×,〇
77,77,〇,〇,,〇,×
78,78,×,,×,×,〇
79,79,×,,×,×,×
