,Unnamed: 0,0,〇,×,pred,ans
0,0,×,,×,×,×
1,1,〇,〇,,〇,〇
2,2,〇,〇,,〇,〇
3,3,×,,×,×,×
4,4,×,,×,×,〇
5,5,×,,×,×,〇
6,6,×,,×,×,×
7,7,×,,×,×,×
8,8,×,,×,×,×
9,9,〇,〇,,〇,〇
10,10,〇,〇,,〇,×
11,11,〇,〇,,〇,〇
12,12,〇,〇,,〇,×
13,13,×,,×,×,×
14,14,〇,〇,,〇,〇
15,15,〇,〇,,〇,〇
16,16,〇,〇,,〇,〇
17,17,×,,×,×,×
18,18,×,,×,×,〇
19,19,×,,×,×,×
20,20,〇,〇,,〇,×
21,21,×,,×,×,×
22,22,×,,×,×,〇
23,23,〇,〇,,〇,〇
24,24,×,,×,×,×
25,25,×,,×,×,×
26,26,〇,〇,,〇,〇
27,27,〇,〇,,〇,〇
28,28,×,,×,×,×
29,29,〇,〇,,〇,〇
30,30,〇,〇,,〇,×
31,31,〇,〇,,〇,〇
32,32,〇,〇,,〇,〇
33,33,×,,×,×,×
34,34,〇,〇,,〇,〇
35,35,〇,〇,,〇,×
36,36,〇,〇,,〇,〇
37,37,〇,〇,,〇,×
38,38,×,,×,×,×
39,39,〇,〇,,〇,〇
40,40,〇,〇,,〇,〇
41,41,〇,〇,,〇,〇
42,42,×,,×,×,×
43,43,〇,〇,,〇,×
44,44,×,,×,×,×
45,45,〇,〇,,〇,〇
46,46,〇,〇,,〇,×
47,47,×,,×,×,〇
48,48,〇,〇,,〇,×
49,49,〇,〇,,〇,〇
50,50,×,,×,×,×
51,51,〇,〇,,〇,〇
52,52,×,,×,×,×
53,53,〇,〇,,〇,×
54,54,〇,〇,,〇,〇
55,55,〇,〇,,〇,〇
56,56,〇,〇,,〇,〇
57,57,×,,×,×,×
58,58,〇,〇,,〇,〇
59,59,×,,×,×,×
60,60,×,,×,×,×
61,61,×,,×,×,×
62,62,〇,〇,,〇,〇
63,63,〇,〇,,〇,〇
64,64,〇,〇,,〇,〇
65,65,×,,×,×,×
66,66,×,,×,×,×
67,67,〇,〇,,〇,〇
68,68,×,,×,×,×
69,69,〇,〇,,〇,〇
70,70,×,,×,×,〇
71,71,〇,〇,,〇,×
72,72,〇,〇,,〇,〇
73,73,×,,×,×,×
74,74,〇,〇,,〇,×
75,75,〇,〇,,〇,〇
76,76,×,,×,×,×
77,77,×,,×,×,×
78,78,〇,〇,,〇,〇
79,79,〇,〇,,〇,〇
