,Unnamed: 0,0,〇,×,pred,ans
0,0,〇,〇,,〇,〇
1,1,×,,×,×,×
2,2,×,,×,×,〇
3,3,×,,×,×,×
4,4,×,,×,×,〇
5,5,×,,×,×,×
6,6,〇,〇,,〇,〇
7,7,"×

",,×,×,×
8,8,×,,×,×,〇
9,9,×,,×,×,×
10,10,×,,×,×,×
11,11,〇,〇,,〇,〇
12,12,×,,×,×,×
13,13,×,,×,×,〇
14,14,×,,×,×,〇
15,15,×,,×,×,×
16,16,×,,×,×,×
17,17,〇,〇,,〇,〇
18,18,〇,〇,,〇,×
19,19,×,,×,×,〇
20,20,×,,×,×,〇
21,21,×,,×,×,×
22,22,〇,〇,,〇,〇
23,23,〇,〇,,〇,×
24,24,×,,×,×,×
25,25,×,,×,×,〇
26,26,〇,〇,,〇,〇
27,27,×,,×,×,×
28,28,×,,×,×,〇
29,29,×,,×,×,×
30,30,×,,×,×,〇
31,31,×,,×,×,×
32,32,×,,×,×,〇
33,33,×,,×,×,×
34,34,×,,×,×,×
35,35,〇,〇,,〇,〇
36,36,〇,〇,,〇,×
37,37,×,,×,×,×
38,38,〇,〇,,〇,〇
39,39,〇,〇,,〇,〇
40,40,〇,〇,,〇,〇
41,41,×,,×,×,〇
42,42,〇,〇,,〇,×
43,43,×,,×,×,×
44,44,×,,×,×,×
45,45,×,,×,×,×
46,46,×,,×,×,〇
47,47,×,,×,×,〇
48,48,〇,〇,,〇,×
49,49,×,,×,×,〇
50,50,×,,×,×,×
51,51,×,,×,×,〇
52,52,×,,×,×,〇
53,53,〇,〇,,〇,×
54,54,×,,×,×,×
55,55,×,,×,×,〇
56,56,〇,〇,,〇,×
57,57,〇,〇,,〇,〇
58,58,〇,〇,,〇,〇
59,59,×,,×,×,×
60,60,〇,〇,,〇,×
61,61,×,,×,×,×
62,62,〇,〇,,〇,〇
63,63,×,,×,×,〇
64,64,×,,×,×,×
65,65,×,,×,×,×
66,66,×,,×,×,〇
67,67,×,,×,×,〇
68,68,〇,〇,,〇,〇
69,69,〇,〇,,〇,〇
70,70,×,,×,×,×
71,71,×,,×,×,×
72,72,×,,×,×,×
73,73,×,,×,×,〇
74,74,×,,×,×,×
75,75,×,,×,×,〇
76,76,×,,×,×,〇
77,77,〇,〇,,〇,〇
78,78,×,,×,×,×
79,79,×,,×,×,×
