,0
0,"回答:
〇

根拠条文:
諸表監査基準第１０号「監査人は、監査の目的を達成するために必要な監査手続を遂行し、達成することができる保証を得るため、適切な監査証拠を取得する。」"
1,"回答:
〇

根拠条文:
公認会計士法第36条"
2,"回答:
〇

根拠条文:
会計基準委員会第705号「監査報告書において記述される事項」第8項 監査人が財務諸表の表示に関して適正であると判断することが適当であるが、その判断及びその条件による異同等の基礎となる証拠に関して付説を加えることが望ましい場合がある。"
3,"回答:
×

根拠条文:
監査人が結論を導き，意見表明の基礎となる監査証拠は，絶対的かつ客観的なものである必要があります。「心証的なもの」と表現される証拠は適切ではありません。"
4,"回答:
〇

根拠条文:
公認会計士法 第26条 の記載に基づく。"
5,"回答:
〇

根拠条文:
公認会計士法 第25条"
6,"回答:
×

根拠条文:
公認会計士法第34条"
7,"回答:
〇

根拠条文:
公認会計士法 第28条"
8,"回答:
〇

根拠条文:
監査基準第340号「監査事務所の独立性」第10項「個々の監査担当者の職業倫理および独立性に関する方針および手順の遵守の確認」"
9,"回答:
〇

根拠条文:
監査基準第290.2条「独立性の確保」"
10,"回答:
〇

根拠条文:
監査人の職業倫理及び独立性に関する規則第36条
監査事務所は、職業倫理に関する規定に含まれる独立性の規定を遵守することを確保するために、独立性の保持のための方針及び手続を定めなければならないが、当該方針及び手続が適用されるのは、監査事務所及びその専門要員である。監査事務所が所属するネットワーク・ファームの専門要員は、当該方針及び手続の適用対象とならない。"
11,"回答:
〇

根拠条文:
監査基準第315号「利害関係の判断」第6段落"
12,"回答:
×

根拠条文:
金融商品取引法 第30条の2"
13,"回答:
〇

根拠条文:
金融商品取引法 第三十七条第三項"
14,"回答:
〇

根拠条文:
金融商品取引法 第37条 制度設けている者等の会社法上の会計監査人"
15,"回答:
×

根拠条文:金融商品取引法第26条"
16,"回答:
〇

根拠条文:
会社法 第336条 第2項"
17,"回答:
〇

根拠条文:
会社法第372条, 第375条, 第376条"
18,"回答:
〇

根拠条文:
会社法第362条の2第2項"
19,"回答:
〇

根拠条文:
会社法 第336条"
20,"回答:
〇

根拠条文:
内部統制に関する監査基準第５号（内部統制の評価）第２項第３号「監査人は、経営者が評価した結果を利用しなかった場合には、経営者の評価方法を具体的に検証する必要はない」"
21,"回答:
〇

根拠条文:
内部統制監査基準 第4条"
22,"回答:
×

根拠条文:
「内部統制監査を実施する監査事務所は、原則として財務諸表監査と同一でなければならないが、当該監査事務所の中で業務執行社員まで同一であることは求められていない。」という記述は誤りです。内部統制監査を実施する監査事務所は業務執行社員まで同一である必要があります。"
23,"回答:
〇

根拠条文:
内部統制監査基準第1202号「内部統制の有効性の評価において、経営者が行う内部統制の有効性の評価結果は、その評価方法を具体的に検証することにより、監査人独自に入手した監査証拠として利用することができる」。"
24,"回答:
〇

根拠条文:
内部統制に関する監査基準第３号「適切な情報の評価」"
25,"回答:
誤り

根拠条文:
内部統制の適正性に関する監査基準第7号「内部統制と監査人の利害関係」"
26,"回答:
×

根拠条文: 会計監査基準第314号「サンプリングの使用」第4項【選択的サンプリング】"
27,"回答:
〇

根拠条文:
内部統制監査基準第5号「監査の実行」第31項「監査記録の作成」と第32項「監査証拠の入手」"
28,"回答:
〇

根拠条文:
ISA570.7 - この種類の監査業務について設計された方法と技術を適切に使用することは、職業的懐疑心の発揮の程度の低さを正当化することにはならない。"
29,"回答:
〇

根拠条文:
監査基準第2-3項「監査人は、質問に対する回答が合理的である場合、その回答を裏付けるための証拠の入手を求める必要はない」。"
30,"回答:
〇

根拠条文:
監査基準第15号「第三者照会等に関する監査作業」第15-4項「異常な変動の原因の確認」"
31,"回答:
〇

根拠条文:
CPA検定試験　簿記論_問題用紙　『四半期レビューの範囲』より「四半期レビュー手続においては見積もり対象についての監査人独自の見積もりが要求される。」"
32,"回答:
〇

根拠条文:
監査基準第220号「品質管理」"
33,"回答:
〇

根拠条文:
監査基準第1301号「監査責任者及び審査担当者のローテーション」"
34,"回答:
〇

根拠条文:
ISQC 1 パラグラフ 48(a) およびパラグラフ 48(b)"
35,"回答:
×

根拠条文: 財務諸表の監査に関する基準第708号「職務遂行の適正性及び監査管理に関する規定」§A25「監査調書の記録、修正及び追加の記録」"
36,"回答:
〇

根拠条文:
監査基準第200号「審査に携わる職員とその資格」第1項「監査業務の審査担当者には、監査業務の性質及び複雑性に応じ、原則として客観的であり、監査判断における自らの独立意見を形成し行使できる者が指名されるべきである。」"
