,0
0,"回答:
〇

根拠条文:
監査基準報告書２００財務諸表監査における総括的な目的"
1,"回答:
〇

根拠条文:
監査基準報告書２４０財務諸表監査における不正"
2,"回答:
〇

根拠条文:
監査基準報告書７０６独立監査人の監査報告書における強調事項区分とその他の事項区分"
3,"回答:
〇

根拠条文:
監査基準報告書５００監査証拠"
4,"回答:
〇

根拠条文:
公認会計士法 第46条"
5,"回答:
×

根拠条文:
公認会計士法第26条"
6,"回答:
根拠条文: ×

根拠条文が提供されていません。"
7,"回答:
根拠条文: なし"
8,"回答:
〇

根拠条文:
監査基準報告書２２０監査業務における品質管理"
9,"回答:
〇

根拠条文:
監査基準報告書２６０監査役等とのコミュニケーション"
10,"回答:
根拠条文: ×

根拠条文: 監査基準報告書２２０監査業務における品質管理"
11,"回答:
〇

根拠条文:
監査基準報告書２１０監査業務の契約条件の合意"
12,"回答: ×

根拠条文: 金融商品取引法"
13,"回答: ×
根拠条文: 提出される財務計算に関する書類が公益や投資家保護に欠けないと内閣総理大臣が認めた場合、監査証明は不要となります。"
14,"回答:
根拠条文:金融商品取引法により、特定の発行者が提出する財務計算に関する"
15,"回答:
×

根拠条文:
金融商品取引法
The correct answer is:
Answer: ×
Basis Article: Financial Instruments and Exchange Act"
16,"回答:
〇

根拠条文:
会社法 第３４６条"
17,"回答:
×

根拠条文:
会社法 第１４０条"
18,"回答:
〇

根拠条文:
会社法第362条"
19,"回答:
根拠条文: ×

この記述は誤りです。会社法において、監査役が子会社に事業の報告を求めることや調査することが可能であり、子会社はこれを拒むことができないという規定は存在しません。"
20,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 3.1.3.2"
21,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 45"
22,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 45"
23,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査"
24,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 45"
