,0
0,"回答:
×

根拠条文:
監査人による無限定適正意見の表明は、当該財務諸表の信頼性を保証するものではなく、主に財務諸表の適正性に関する監査人の意見であることを示している。監査人は、財務諸表の適正性について意見を述べることであり、経営者の責任を軽減するものではない。監査の目的は、財務諸表の適正性に関する意見を述べることであり、経営者の責任を負担させることではない。(監査基準第701号)"
1,"回答:
〇

根拠条文:
※監査基準業務の遂行に関する審査基準（適用指針、第101号）
　A22 財務諸表の監査の性質․内容についての基準第25項「規定上必要な確認を行い、その結果にもとづく適切な報告を行うために，監査人は人的かつ物的資源によって意の通り（適正に）行為し、それに従事する職員を指導・監督する必要がある。」"
2,"回答:
〇
根拠条文: 監査基準　第3条「監査実施の範囲及び方法」"
3,"回答:
×

根拠条文:
会計監査基準第315号（AA315）「監査手順の遂行」では、職業的判断に基づく判断を実施する段階に限らず、監査中のあらゆる段階で監査人は、監査業務における情報や証拠に基づいて職業的な判断を行う必要があるとされています。"
4,"回答:
×

根拠条文:監査基準第101号「独立性」第22項【二重責任の原則の意味】"
5,"回答:
〇

根拠条文:
企業会計審議会は，公認会計士に遵守を求める「倫理規則」を定めている。"
6,"回答:
×

根拠条文:
財務諸表監査が重要な虚偽表示が存在しないことを保証することとする社会的な合意にあるという記述は誤りです。財務諸表監査の目的は、財務諸表の公正な表示を確保することであり、虚偽表示の保証ではありません。"
7,"回答:
〇

根拠条文:
監査基準第315号「監査リスク（改訂2005年3月）」第2項「監査リスクは、重要な虚偽の表示が含まれるか示唆する重要な積極的な証拠、または領域と、無いか示唆する重要な積極的な証拠のいずれか、あるいはその両方においてキーとなる変動があれば、総括的監査戦略、および特定の監査手順は変更されるべきかどうかを認識および評価するために役立っている。至って控えめな形での監査リスクは重要な虚偽の表示が含まれるか示唆する証拠や領域が存在しないという意見形成を促す可能性があるときに生じる。逆に、過大な監査リスクは重要な虚偽の表示が含まれないか示唆する重要な証拠や領域が存在しないという意見形成を促す可能性があるときにも生じる。」"
8,"回答:
〇

根拠条文:
公認会計士法 第2条"
9,"回答:
〇

根拠条文:
公認会計士法第28条-3"
10,"回答:
〇

根拠条文:
公認会計士法 第74条"
11,"回答:
〇
根拠条文:
公認会計士法 第47条"
12,"回答:
×

根拠条文:
金融商品取引法第42条"
13,"回答:
〇

根拠条文:
金融商品取引法第13条の2の2及び4の2の規定"
14,"回答:
〇

根拠条文:
金融商品取引法 第43条 制度の設置と業務の遂行等"
15,"回答:
×

根拠条文:
金融商品取引法第16条"
16,"回答:
〇

根拠条文:
会社法 第６９条 の２"
17,"回答:
〇

根拠条文:
会社法第354条の2第1項及び第6項、会社法施行規則第168条第1項"
18,"回答:
〇

根拠条文:
会社法 第347条第1項、第2項第1号、第2項第2号"
19,"回答:
〇

根拠条文:
会社法 第３２２条 第２項"
