,0
0,"回答:
〇

根拠条文:
監査基準報告書７００財務諸表に対する意見の形成と監査報告"
1,"回答:
〇

根拠条文:
監査基準報告書３１５重要な虚偽表示リスクの識別と評価"
2,"回答:
〇

根拠条文: 監査基準報告書５００監査証拠"
3,"回答:
〇

根拠条文:
監査基準報告書３２０監査の計画及び実施における重要性"
4,"回答:
〇

根拠条文:
監査基準報告書２００財務諸表監査における総括的な目的"
5,"回答:
〇

根拠条文:
公認会計士法 1条"
6,"回答: 〇
根拠条文: 与えられた文脈からは、監査に基づく監査が行われる理由は、財務諸表監査の目的が重要な虚偽表示が存在しないことを合理的な水準で保証することとする社会的な合意にあると述べられています。"
7,"回答:
根拠条文: 315"
8,"回答: 〇
根拠条文: 公認会計士法 - 公認会計士の使命"
9,"回答: ×
根拠条文: 公認会計士法第３６条"
10,"回答:
〇

根拠条文:
公認会計士法第５４条"
11,"回答:
根拠条文: ×

根拠条文番号: なし"
12,"回答:
×

根拠条文:
金融商品取引法において、公認会計士又は監査法人による監査証明の対象は、有価証券報告書に含まれる情報のうち、「貸借対照表、損益計算書その他の財務計算に関する書類」に限られます。"
13,"回答:
〇

根拠条文:
金融商品取引法第46条"
14,"回答:
根拠条文:金融商品取引法監査制度において、監査人は、経営者の責任に加えて、監査役等の責任についても監査報告書に記載しなければならないことが規定されています。"
15,"回答: ×
根拠条文: 金融商品取引法"
16,"回答:
〇

根拠条文:
会社法第３４条"
17,"回答:
〇

根拠条文:
会社法第345条"
18,"回答: ×
根拠条文: 会計監査人は、会社から独立した専門家の立場から会計監査を行い、監査役は、日常の業務監査を踏まえ、会計監査人の監査の方法又は結果を評価することにより会計監査を行います。"
19,"回答:
根拠条文: なし"
20,"回答:
根拠条文: 4"
21,"回答: ×
根拠条文: 四半期レビューにおける分析的手続の実施は、業種の特性等を踏まえたきめ細かな分析的手続を実施することが求められています。"
22,"回答:
根拠条文: ×

この記述は誤りです。四半期レビューにおいて、監査人が追加的な手続きとして分析的実証手続を実施する必要はありません。"
23,"回答:
〇

根拠条文:四半期レビューは、質問や分析的手続を基本として行われる手続きであり、経営者に対して重要な質問を行い、業種の特性を考慮した分析を行います。四半期レビューは、質問、分析的手続き、および"
24,"回答:
〇

根拠条文: 財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 (functions.45)"
25,"回答:
根拠条文: ×

この記述は誤りです。内部統制監査において、監査人は経営者による全社的な内部統制の評価の妥当性を独自に評価する必要があります。財務諸表監査の実施過程で得られた監査証拠を利用することはできません。"
26,"回答:
〇

根拠条文: 財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 45"
27,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 45"
28,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査"
29,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 45"
30,"回答:
〇

根拠条文:
財務報告内部統制監査基準報告書第１号財務報告に係る内部統制の監査 45"
31,"回答:
根拠条文: ×

この記述は正しくありません。"
32,"回答:
根拠条文: ×

根拠条文番号: なし"
33,"回答:
〇

根拠条文:
監査基準報告書２１０監査業務の契約条件の合意"
34,"回答:
〇

根拠条文:
監査基準報告書２６０監査役等とのコミュニケーション"
35,"回答:
根拠条文: 正解"
36,"回答:
〇

根拠条文:
監査基準報告書５００監査証拠"
37,"回答:
〇

根拠条文:
保証業務に関する規則 第3条"
38,"回答:
〇

根拠条文:
保証業務における規準の適合性は，規準が目的適合性，完全性，信頼性，中立性及び理解可能性を備えていることを要件とし，業務の状況との関連で業務実施者により評価される。この評価は，保証業務リスクの水準によって影響を受ける。"
39,"回答:
〇

根拠条文:
公認会計士法 23-2-1"
40,"回答:
〇

根拠条文:
監査基準報告書２１０監査業務の契約条件の合意"
41,"回答:
根拠条文: ×

この記述は誤りです。監査基準・一般基準2において、監査人の独立性に関する規定は削除されたわけではありません。監査人が公正不偏の態度を保持する局面は引き続き重要な要素として残っています。"
42,"回答:
〇

根拠条文:
監査基準報告書２６０監査役等とのコミュニケーション"
43,"回答:
「〇」

根拠条文:
監査基準報告書２６０監査役等とのコミュニケーション"
44,"回答:
〇

根拠条文:
監査基準報告書３１５重要な虚偽表示リスクの識別と評価"
45,"回答:
〇

根拠条文: 監査基準報告書３２０監査の計画及び実施における重要性"
46,"回答:
〇

根拠条文:
監査基準報告書３２０監査の計画及び実施における重要性"
47,"回答:
〇

根拠条文:
監査基準報告書２６０監査役等とのコミュニケーション"
48,"回答:
〇

根拠条文:
監査人は、業務上知り得た秘密を正当な理由なく他に漏らし、又は窃用してはならないという守秘義務があります。"
49,"回答:
〇

根拠条文:
監査基準報告書２２０監査業務における品質管理"
50,"回答:
〇

根拠条文:
公認会計士法第45条"
51,"回答:
〇

根拠条文:
公認会計士法第26条"
52,"回答:
〇

根拠条文:
監査基準報告書３１５重要な虚偽表示リスクの識別と評価"
53,"回答:
〇

根拠条文:
監査基準報告書３１５重要な虚偽表示リスクの識別と評価"
54,"回答:
〇

根拠条文:
監査基準報告書３１５「重要な虚偽表示リスクの識別と評価」"
55,"回答:
〇

根拠条文:
監査基準報告書３１５重要な虚偽表示リスクの識別と評価"
56,"回答:
根拠条文: ×

この記述は誤りです。監査計画に先立ち、監査契約に係る予備的な活動において、監査チームメンバーの能力、時期、及び人数を明確にする必要はありません。監査計画においては、監査の範囲、目的、方法、スケジュール、リソースの配分などが明確にされます。"
57,"回答:
〇

根拠条文:
監査基準報告書３００監査計画"
58,"回答:
〇

根拠条文:
監査基準報告書３２０監査の計画及び実施における重要性"
59,"回答:
〇

根拠条文:
監査基準報告書５７０継続企業"
60,"回答:
〇

根拠条文:
監査基準報告書３２０監査の計画及び実施における重要性"
61,"回答:
〇

根拠条文:
監査基準報告書５２０分析的手続"
62,"回答:
〇

根拠条文:
監査基準報告書３１５重要な虚偽表示リスクの識別と評価"
63,"回答:
〇

根拠条文:
監査基準報告書５２０分析的手続"
64,"回答:
〇

根拠条文:
監査基準報告書７８０経営者確認書"
65,"回答:
〇

根拠条文:
金融商品取引法について使用できます。 (金融商品取引法第1条)"
66,"回答:
〇

根拠条文:
監査基準報告書７０５独立監査人の監査報告書における除外事項付意見"
67,"回答:
×
根拠条文:
申し訳ありませんが、質問が理解できませんでした。他に質問があればお知らせください。"
68,"回答:
〇

根拠条文:
監査基準報告書３１５重要な虚偽表示リスクの識別と評価"
69,"回答:
根拠条文: 5"
70,"回答:
〇

根拠条文:
監査基準報告書５２０分析的手続"
71,"回答:
〇

根拠条文:
監査基準報告書６２０専門家の業務の利用"
72,"回答:
〇

根拠条文:
監査基準報告書７０６独立監査人の監査報告書における強調事項区分とその他の事項区分"
73,"回答:
〇

根拠条文:
監査基準報告書２６０監査役等とのコミュニケーション"
74,"回答:
〇

根拠条文:
監査基準報告書７００財務諸表に対する意見の形成と監査報告"
75,"回答:
〇

根拠条文:
監査基準報告書４５０監査の過程で識別した虚偽表示の評価"
76,"回答:
文章は「〇」です。

根拠条文: 監査基準報告書４５０監査の過程で識別した虚偽表示の評価"
77,"回答:
〇

根拠条文:
監査基準報告書３１５"
78,"回答:
〇

根拠条文:
監査基準報告書２６０監査役等とのコミュニケーション"
79,"回答:
〇

根拠条文:
監査基準報告書３２０監査の計画及び実施における重要性"
