,model_name,year,TN,FP,FN,TP,accuracy,precision,recall,f1-score,support
0,gpt-3.5-turbo-0125,H27_1,13,23,12,24,0.5138888888888888,0.5106382978723404,0.6666666666666666,0.5783132530120482,72
1,gpt-3.5-turbo-0125,H27_2,14,22,6,30,0.6111111111111112,0.5769230769230769,0.8333333333333334,0.6818181818181818,72
2,gpt-3.5-turbo-0125,H28_1,6,34,11,29,0.4375,0.4603174603174603,0.725,0.5631067961165048,80
3,gpt-3.5-turbo-0125,H28_2,7,30,6,32,0.52,0.5161290322580645,0.8421052631578947,0.6399999999999999,75
4,gpt-3.5-turbo-0125,H29_1,13,25,10,29,0.5454545454545454,0.5370370370370371,0.7435897435897436,0.6236559139784946,77
5,gpt-3.5-turbo-0125,H29_2,12,26,10,28,0.5263157894736842,0.5185185185185185,0.7368421052631579,0.6086956521739131,76
6,gpt-3.5-turbo-0125,H30_1,8,31,10,30,0.4810126582278481,0.4918032786885246,0.75,0.5940594059405939,79
7,gpt-3.5-turbo-0125,H30_2,12,26,6,32,0.5789473684210527,0.5517241379310345,0.8421052631578947,0.6666666666666666,76
8,gpt-3.5-turbo-0125,H31_1,11,25,12,26,0.5,0.5098039215686274,0.6842105263157895,0.5842696629213484,74
9,gpt-3.5-turbo-0125,H31_2,14,23,11,27,0.5466666666666666,0.54,0.7105263157894737,0.6136363636363636,75
10,gpt-3.5-turbo-0125,R2_1,4,35,7,31,0.45454545454545453,0.4696969696969697,0.8157894736842105,0.5961538461538461,77
11,gpt-3.5-turbo-0125,R2_2,9,29,6,32,0.5394736842105263,0.5245901639344263,0.8421052631578947,0.6464646464646464,76
12,gpt-3.5-turbo-0125,R3,10,27,3,33,0.589041095890411,0.55,0.9166666666666666,0.6874999999999999,73
13,gpt-4-0613,H27_1,31,5,33,3,0.4722222222222222,0.375,0.08333333333333333,0.13636363636363638,72
14,gpt-4-0613,H27_2,34,2,33,3,0.5138888888888888,0.6,0.08333333333333333,0.14634146341463414,72
15,gpt-4-0613,H28_1,33,7,32,8,0.5125,0.5333333333333333,0.2,0.2909090909090909,80
16,gpt-4-0613,H28_2,29,11,23,17,0.575,0.6071428571428571,0.425,0.5,80
17,gpt-4-0613,H29_1,32,8,29,11,0.5375,0.5789473684210527,0.275,0.37288135593220345,80
18,gpt-4-0613,H29_2,30,10,22,18,0.6,0.6428571428571429,0.45,0.5294117647058824,80
19,gpt-4-0613,H30_1,29,11,26,14,0.5375,0.56,0.35,0.4307692307692308,80
20,gpt-4-0613,H30_2,33,7,24,16,0.6125,0.6956521739130435,0.4,0.507936507936508,80
21,gpt-4-0613,H31_1,30,10,25,15,0.5625,0.6,0.375,0.4615384615384615,80
22,gpt-4-0613,H31_2,32,8,28,12,0.55,0.6,0.3,0.4,80
23,gpt-4-0613,R2_1,37,3,27,13,0.625,0.8125,0.325,0.46428571428571436,80
24,gpt-4-0613,R2_2,31,9,25,15,0.575,0.625,0.375,0.46875,80
25,gpt-4-0613,R3,27,13,26,14,0.5125,0.5185185185185185,0.35,0.417910447761194,80
26,gpt-4-turbo-2024-04-09,H27_1,26,10,29,7,0.4583333333333333,0.4117647058823529,0.19444444444444445,0.2641509433962264,72
27,gpt-4-turbo-2024-04-09,H27_2,26,10,26,10,0.5,0.5,0.2777777777777778,0.35714285714285715,72
28,gpt-4-turbo-2024-04-09,H28_1,30,10,15,25,0.6875,0.7142857142857143,0.625,0.6666666666666666,80
29,gpt-4-turbo-2024-04-09,H28_2,30,10,17,23,0.6625,0.696969696969697,0.575,0.6301369863013698,80
30,gpt-4-turbo-2024-04-09,H29_1,33,7,22,18,0.6375,0.72,0.45,0.5538461538461539,80
31,gpt-4-turbo-2024-04-09,H29_2,28,12,22,18,0.575,0.6,0.45,0.5142857142857143,80
32,gpt-4-turbo-2024-04-09,H30_1,31,9,22,18,0.6125,0.6666666666666666,0.45,0.5373134328358209,80
33,gpt-4-turbo-2024-04-09,H30_2,32,8,20,20,0.65,0.7142857142857143,0.5,0.588235294117647,80
34,gpt-4-turbo-2024-04-09,H31_1,32,8,24,16,0.6,0.6666666666666666,0.4,0.5,80
35,gpt-4-turbo-2024-04-09,H31_2,34,6,27,13,0.5875,0.6842105263157895,0.325,0.4406779661016949,80
36,gpt-4-turbo-2024-04-09,R2_1,36,4,29,11,0.5875,0.7333333333333333,0.275,0.4,80
37,gpt-4-turbo-2024-04-09,R2_2,26,14,23,17,0.5375,0.5483870967741935,0.425,0.47887323943661964,80
38,gpt-4-turbo-2024-04-09,R3,34,6,23,17,0.6375,0.7391304347826086,0.425,0.5396825396825397,80
39,gpt-4o-2024-05-13,H27_1,26,10,23,13,0.5416666666666666,0.5652173913043478,0.3611111111111111,0.44067796610169496,72
40,gpt-4o-2024-05-13,H27_2,28,8,18,18,0.6388888888888888,0.6923076923076923,0.5,0.5806451612903226,72
41,gpt-4o-2024-05-13,H28_1,32,8,24,16,0.6,0.6666666666666666,0.4,0.5,80
42,gpt-4o-2024-05-13,H28_2,34,6,15,25,0.7375,0.8064516129032258,0.625,0.7042253521126761,80
43,gpt-4o-2024-05-13,H29_1,30,10,13,27,0.7125,0.7297297297297297,0.675,0.7012987012987014,80
44,gpt-4o-2024-05-13,H29_2,30,10,16,24,0.675,0.7058823529411765,0.6,0.6486486486486486,80
45,gpt-4o-2024-05-13,H30_1,29,11,10,30,0.7375,0.7317073170731707,0.75,0.7407407407407408,80
46,gpt-4o-2024-05-13,H30_2,33,7,15,25,0.725,0.78125,0.625,0.6944444444444444,80
47,gpt-4o-2024-05-13,H31_1,27,13,13,27,0.675,0.675,0.675,0.675,80
48,gpt-4o-2024-05-13,H31_2,28,12,15,25,0.6625,0.6756756756756757,0.625,0.6493506493506493,80
49,gpt-4o-2024-05-13,R2_1,33,7,27,13,0.575,0.65,0.325,0.43333333333333335,80
50,gpt-4o-2024-05-13,R2_2,27,13,18,22,0.6125,0.6285714285714286,0.55,0.5866666666666667,80
51,gpt-4o-2024-05-13,R3,28,12,16,24,0.65,0.6666666666666666,0.6,0.631578947368421,80
